run_id	sequence_accession	score	percent_identity	n_reads	viral_name
ERR3179017	NC_001401.2	66	90	154	Adeno-associated virus
ERR3179034	NC_001401.2	100	90	251	Adeno-associated virus
ERR3179041	NC_001401.2	76	92	170	Adeno-associated virus
ERR3179051	NC_001401.2	61	93	164	Adeno-associated virus
ERR3179053	NC_001401.2	53	91	116	Adeno-associated virus
ERR3179059	NC_001401.2	96	96	503	Adeno-associated virus
ERR3179062	NC_001401.2	76	91	193	Adeno-associated virus
ERR3179068	NC_001401.2	100	97	1333019	Adeno-associated virus
ERR3179075	NC_001401.2	54	92	123	Adeno-associated virus
SRR10435419	NC_001401.2	58	100	1157	Adeno-associated virus
SRR10435420	NC_001401.2	53	100	331	Adeno-associated virus
ERR1301538	NC_001401.2	51	85	12017	Adeno-associated virus
ERR3179099	NC_001401.2	100	96	26176	Adeno-associated virus
ERR3179105	NC_001401.2	95	90	231	Adeno-associated virus
ERR3179107	NC_001401.2	100	97	5789280	Adeno-associated virus
ERR3179110	NC_001401.2	58	95	153	Adeno-associated virus
ERR3179111	NC_001401.2	87	95	229	Adeno-associated virus
ERR3179112	NC_001401.2	65	89	128	Adeno-associated virus
ERR3179124	NC_001401.2	52	92	119	Adeno-associated virus
ERR3179129	NC_001401.2	83	91	235	Adeno-associated virus
ERR3179131	NC_001401.2	54	93	143	Adeno-associated virus
ERR3179136	NC_001401.2	71	92	175	Adeno-associated virus
SRR10251043	NC_001401.2	70	96	927	Adeno-associated virus
SRR10251044	NC_001401.2	75	96	1068	Adeno-associated virus
SRR10251045	NC_001401.2	71	96	920	Adeno-associated virus
SRR10251046	NC_001401.2	69	97	988	Adeno-associated virus
SRR10251047	NC_001401.2	71	97	950	Adeno-associated virus
SRR10251048	NC_001401.2	66	97	766	Adeno-associated virus
SRR10251049	NC_001401.2	65	97	645	Adeno-associated virus
SRR10251050	NC_001401.2	72	97	873	Adeno-associated virus
SRR10251051	NC_001401.2	70	97	828	Adeno-associated virus
ERR2835554	NC_001401.2	100	96	454150	Adeno-associated virus
SRR10071245	NC_001401.2	52	100	444	Adeno-associated virus
SRR11116170	NC_001401.2	66	98	330	Adeno-associated virus
SRR11116173	NC_001401.2	66	98	528	Adeno-associated virus
SRR11116174	NC_001401.2	60	98	483	Adeno-associated virus
SRR11116178	NC_001401.2	65	98	769	Adeno-associated virus
SRR11116180	NC_001401.2	72	99	2122	Adeno-associated virus
SRR11116181	NC_001401.2	66	98	420	Adeno-associated virus
ERR906554	NC_001401.2	100	82	388	Adeno-associated virus
ERR906559	NC_001401.2	100	82	660	Adeno-associated virus
ERR906565	NC_001401.2	59	84	298	Adeno-associated virus
ERR906574	NC_001401.2	73	82	1510	Adeno-associated virus
SRR1106550	NC_001401.2	80	95	3547	Adeno-associated virus
SRR10672861	NC_001401.2	56	97	154	Adeno-associated virus
SRR11289054	NC_001401.2	55	99	370	Adeno-associated virus
SRR10424528	NC_001401.2	71	99	1839	Adeno-associated virus
SRR10424529	NC_001401.2	71	99	1371	Adeno-associated virus
SRR10424530	NC_001401.2	74	99	3334	Adeno-associated virus
SRR10424531	NC_001401.2	68	99	1901	Adeno-associated virus
SRR10424532	NC_001401.2	74	99	2119	Adeno-associated virus
SRR11489752	NC_001401.2	63	87	1076	Adeno-associated virus
SRR11194604	NC_001401.2	74	97	320	Adeno-associated virus
SRR1106117	NC_001401.2	95	95	40639	Adeno-associated virus
SRR1427153	NC_001401.2	54	99	2366	Adeno-associated virus
SRR1427154	NC_001401.2	57	99	3298	Adeno-associated virus
SRR2229938	NC_001401.2	57	99	5309	Adeno-associated virus
SRR2229939	NC_001401.2	54	99	4121	Adeno-associated virus
SRR2229941	NC_001401.2	58	99	10790	Adeno-associated virus
SRR2229942	NC_001401.2	57	99	9567	Adeno-associated virus
SRR2229943	NC_001401.2	57	99	4308	Adeno-associated virus
SRR2968068	NC_001401.2	90	100	28118	Adeno-associated virus
SRR3374127	NC_001401.2	93	100	3525	Adeno-associated virus
SRR3374128	NC_001401.2	93	100	4997	Adeno-associated virus
SRR3374129	NC_001401.2	65	100	303	Adeno-associated virus
SRR3374130	NC_001401.2	93	100	5429	Adeno-associated virus
SRR3374131	NC_001401.2	93	100	2179	Adeno-associated virus
SRR3374132	NC_001401.2	93	100	9986	Adeno-associated virus
SRR333836	NC_001401.2	69	100	410	Adeno-associated virus
SRR316233	NC_001401.2	100	95	2171	Adeno-associated virus
SRR316297	NC_001401.2	100	93	1763	Adeno-associated virus
SRR316299	NC_001401.2	100	95	1969	Adeno-associated virus
SRR4242136	NC_001401.2	100	90	139995	Adeno-associated virus
SRR3587273	NC_001401.2	93	100	7778	Adeno-associated virus
SRR3587274	NC_001401.2	88	99	1395	Adeno-associated virus
SRR3587275	NC_001401.2	93	100	2785725	Adeno-associated virus
SRR3226517	NC_001401.2	58	99	10800	Adeno-associated virus
SRR3226518	NC_001401.2	57	99	9563	Adeno-associated virus
SRR3226519	NC_001401.2	57	99	4309	Adeno-associated virus
SRR3226521	NC_001401.2	57	99	5313	Adeno-associated virus
SRR3226522	NC_001401.2	55	99	4121	Adeno-associated virus
SRR5031391	NC_001401.2	53	99	351	Adeno-associated virus
SRR5031394	NC_001401.2	59	99	892	Adeno-associated virus
SRR5031395	NC_001401.2	65	99	2557	Adeno-associated virus
SRR5031396	NC_001401.2	50	99	437	Adeno-associated virus
SRR4015367	NC_001401.2	91	99	1220	Adeno-associated virus
SRR5163616	NC_001401.2	93	100	27801	Adeno-associated virus
SRR4215544	NC_001401.2	60	100	394	Adeno-associated virus
SRR4215546	NC_001401.2	65	100	527	Adeno-associated virus
SRR4215547	NC_001401.2	58	99	521	Adeno-associated virus
SRR4215550	NC_001401.2	66	100	821	Adeno-associated virus
SRR4215551	NC_001401.2	94	99	2761	Adeno-associated virus
SRR4215552	NC_001401.2	51	99	401	Adeno-associated virus
SRR4215553	NC_001401.2	90	99	12181	Adeno-associated virus
SRR4215556	NC_001401.2	67	99	516	Adeno-associated virus
SRR5009845	NC_001401.2	54	98	332	Adeno-associated virus
SRR5009846	NC_001401.2	55	99	326	Adeno-associated virus
SRR5009847	NC_001401.2	65	98	317	Adeno-associated virus
SRR5409441	NC_001401.2	78	97	2745	Adeno-associated virus
SRR5409444	NC_001401.2	77	97	3061	Adeno-associated virus
SRR5409445	NC_001401.2	77	97	2381	Adeno-associated virus
SRR5409446	NC_001401.2	76	97	2324	Adeno-associated virus
SRR5409448	NC_001401.2	84	97	10357	Adeno-associated virus
SRR5409449	NC_001401.2	63	99	763	Adeno-associated virus
SRR5409450	NC_001401.2	50	99	248	Adeno-associated virus
SRR5409451	NC_001401.2	72	99	2410	Adeno-associated virus
SRR5409452	NC_001401.2	76	99	3242	Adeno-associated virus
SRR5409453	NC_001401.2	61	99	1778	Adeno-associated virus
SRR5409454	NC_001401.2	51	99	438	Adeno-associated virus
SRR5363813	NC_001401.2	93	100	10140	Adeno-associated virus
SRR5363814	NC_001401.2	93	100	12467	Adeno-associated virus
SRR5363815	NC_001401.2	93	100	34080	Adeno-associated virus
SRR5363816	NC_001401.2	93	100	40602	Adeno-associated virus
SRR5363817	NC_001401.2	86	99	8638	Adeno-associated virus
SRR5363818	NC_001401.2	86	99	10716	Adeno-associated virus
SRR5363819	NC_001401.2	86	99	71018	Adeno-associated virus
SRR5363820	NC_001401.2	87	99	122206	Adeno-associated virus
SRR5298230	NC_001401.2	64	97	491	Adeno-associated virus
SRR6050464	NC_001401.2	63	99	5516	Adeno-associated virus
SRR6050465	NC_001401.2	56	99	3523	Adeno-associated virus
SRR6154760	NC_001401.2	59	95	265	Adeno-associated virus
SRR6050466	NC_001401.2	58	99	14654	Adeno-associated virus
SRR6050467	NC_001401.2	61	99	8406	Adeno-associated virus
SRR6221795	NC_001401.2	52	100	844	Adeno-associated virus
SRR6221797	NC_001401.2	52	100	4808	Adeno-associated virus
SRR6221802	NC_001401.2	53	100	2762	Adeno-associated virus
SRR6221803	NC_001401.2	52	100	2335	Adeno-associated virus
SRR6221804	NC_001401.2	53	100	4394	Adeno-associated virus
SRR6286475	NC_001401.2	53	98	428	Adeno-associated virus
SRR6310092	NC_001401.2	52	99	1251	Adeno-associated virus
SRR6197337	NC_001401.2	71	95	432	Adeno-associated virus
SRR6197342	NC_001401.2	77	86	222	Adeno-associated virus
SRR6197346	NC_001401.2	85	86	215	Adeno-associated virus
SRR6197347	NC_001401.2	100	86	496	Adeno-associated virus
SRR6197348	NC_001401.2	100	96	527066	Adeno-associated virus
SRR6197349	NC_001401.2	100	92	742	Adeno-associated virus
SRR6197351	NC_001401.2	86	88	219	Adeno-associated virus
SRR6197352	NC_001401.2	58	85	120	Adeno-associated virus
SRR6197353	NC_001401.2	55	86	127	Adeno-associated virus
SRR6197357	NC_001401.2	87	86	218	Adeno-associated virus
SRR6197364	NC_001401.2	69	87	166	Adeno-associated virus
SRR6418970	NC_001401.2	81	98	1154	Adeno-associated virus
SRR6418971	NC_001401.2	80	98	2482	Adeno-associated virus
SRR6418972	NC_001401.2	82	98	1962	Adeno-associated virus
SRR6418973	NC_001401.2	81	98	1991	Adeno-associated virus
SRR6418974	NC_001401.2	77	98	1324	Adeno-associated virus
SRR6418975	NC_001401.2	65	97	720	Adeno-associated virus
SRR6418976	NC_001401.2	80	98	1916	Adeno-associated virus
SRR6418977	NC_001401.2	81	98	6327	Adeno-associated virus
SRR6418978	NC_001401.2	68	99	1607	Adeno-associated virus
SRR6418979	NC_001401.2	81	98	2054	Adeno-associated virus
SRR6418980	NC_001401.2	75	98	2311	Adeno-associated virus
SRR6418981	NC_001401.2	78	98	2121	Adeno-associated virus
SRR6418982	NC_001401.2	80	98	2378	Adeno-associated virus
SRR6418983	NC_001401.2	81	98	2968	Adeno-associated virus
SRR6418984	NC_001401.2	81	98	3815	Adeno-associated virus
SRR6418985	NC_001401.2	81	98	4193	Adeno-associated virus
SRR6284152	NC_001401.2	58	96	162	Adeno-associated virus
SRR6284155	NC_001401.2	91	95	377	Adeno-associated virus
SRR6284156	NC_001401.2	95	95	846	Adeno-associated virus
SRR6284157	NC_001401.2	93	96	2122	Adeno-associated virus
SRR6853243	NC_001401.2	74	96	394	Adeno-associated virus
SRR6846461	NC_001401.2	85	94	263	Adeno-associated virus
SRR6846462	NC_001401.2	75	96	406	Adeno-associated virus
SRR6846471	NC_001401.2	100	92	778	Adeno-associated virus
SRR6846474	NC_001401.2	91	93	391	Adeno-associated virus
SRR6846476	NC_001401.2	51	93	111	Adeno-associated virus
SRR6846478	NC_001401.2	62	96	210	Adeno-associated virus
SRR6972027	NC_001401.2	51	100	1341	Adeno-associated virus
SRR6846452	NC_001401.2	55	95	166	Adeno-associated virus
SRR6846453	NC_001401.2	84	96	880	Adeno-associated virus
SRR6972417	NC_001401.2	59	100	2184	Adeno-associated virus
SRR6972446	NC_001401.2	51	100	1537	Adeno-associated virus
SRR6972465	NC_001401.2	54	100	330	Adeno-associated virus
SRR7285957	NC_001401.2	100	96	2496	Adeno-associated virus
SRR6743183	NC_001401.2	50	99	1197	Adeno-associated virus
SRR7208561	NC_001401.2	50	99	2094	Adeno-associated virus
SRR7208563	NC_001401.2	50	99	1126	Adeno-associated virus
SRR7589575	NC_001401.2	91	94	692	Adeno-associated virus
SRR7589576	NC_001401.2	100	93	631	Adeno-associated virus
SRR7589581	NC_001401.2	73	95	327	Adeno-associated virus
SRR7288018	NC_001401.2	52	84	457	Adeno-associated virus
SRR7589583	NC_001401.2	100	92	619	Adeno-associated virus
SRR7589584	NC_001401.2	90	94	548	Adeno-associated virus
SRR7589587	NC_001401.2	100	95	1618225	Adeno-associated virus
SRR7695625	NC_001401.2	50	99	463	Adeno-associated virus
SRR7695628	NC_001401.2	50	99	545	Adeno-associated virus
SRR7695632	NC_001401.2	50	99	434	Adeno-associated virus
SRR7325265	NC_001401.2	90	100	1074	Adeno-associated virus
SRR6757617	NC_001401.2	91	99	75775	Adeno-associated virus
SRR766761	NC_001401.2	65	88	477	Adeno-associated virus
SRR766762	NC_001401.2	100	91	344509	Adeno-associated virus
SRR766763	NC_001401.2	81	91	3059	Adeno-associated virus
SRR766764	NC_001401.2	100	92	136776	Adeno-associated virus
SRR6757639	NC_001401.2	87	99	606	Adeno-associated virus
SRR6757643	NC_001401.2	90	99	1189	Adeno-associated virus
SRR7467280	NC_001401.2	73	100	512	Adeno-associated virus
SRR7467283	NC_001401.2	79	100	929	Adeno-associated virus
SRR7467284	NC_001401.2	73	100	614	Adeno-associated virus
SRR6757661	NC_001401.2	87	99	842	Adeno-associated virus
SRR7325367	NC_001401.2	62	100	1143	Adeno-associated virus
SRR6757665	NC_001401.2	59	100	295	Adeno-associated virus
SRR6757667	NC_001401.2	88	99	402	Adeno-associated virus
SRR7325434	NC_001401.2	93	100	2208	Adeno-associated virus
SRR6757697	NC_001401.2	69	100	2124	Adeno-associated virus
SRR7325476	NC_001401.2	59	100	390	Adeno-associated virus
SRR7969310	NC_001401.2	88	100	12836	Adeno-associated virus
SRR7969311	NC_001401.2	88	100	4787	Adeno-associated virus
SRR7969318	NC_001401.2	92	100	2460984	Adeno-associated virus
SRR7969319	NC_001401.2	93	100	2672054	Adeno-associated virus
SRR7969320	NC_001401.2	93	100	2701458	Adeno-associated virus
SRR7895228	NC_001401.2	94	99	4012	Adeno-associated virus
SRR7895229	NC_001401.2	95	99	2560	Adeno-associated virus
SRR7413608	NC_001401.2	93	100	26825	Adeno-associated virus
SRR8178055	NC_001401.2	60	98	656	Adeno-associated virus
SRR8178063	NC_001401.2	66	98	386	Adeno-associated virus
SRR8180266	NC_001401.2	53	99	378	Adeno-associated virus
SRR8423100	NC_001401.2	50	100	214	Adeno-associated virus
SRR8423108	NC_001401.2	56	100	881	Adeno-associated virus
SRR8423109	NC_001401.2	57	100	790	Adeno-associated virus
SRR8423110	NC_001401.2	53	100	763	Adeno-associated virus
SRR8145377	NC_001401.2	62	99	551	Adeno-associated virus
SRR8145381	NC_001401.2	65	99	1622	Adeno-associated virus
SRR8145382	NC_001401.2	68	99	2651	Adeno-associated virus
SRR8145383	NC_001401.2	67	99	2481	Adeno-associated virus
SRR8423111	NC_001401.2	57	100	726	Adeno-associated virus
SRR8145384	NC_001401.2	72	99	3890	Adeno-associated virus
SRR8145385	NC_001401.2	65	99	3814	Adeno-associated virus
SRR8145386	NC_001401.2	72	99	3553	Adeno-associated virus
SRR8423116	NC_001401.2	53	100	417	Adeno-associated virus
SRR8145387	NC_001401.2	62	99	1011	Adeno-associated virus
SRR8145388	NC_001401.2	68	99	1811	Adeno-associated virus
SRR8423117	NC_001401.2	53	100	432	Adeno-associated virus
SRR8423118	NC_001401.2	56	100	467	Adeno-associated virus
SRR8423119	NC_001401.2	56	100	502	Adeno-associated virus
SRR8423121	NC_001401.2	57	100	717	Adeno-associated virus
SRR8423120	NC_001401.2	57	100	773	Adeno-associated virus
SRR8423122	NC_001401.2	57	100	768	Adeno-associated virus
SRR8423123	NC_001401.2	56	100	681	Adeno-associated virus
SRR8423124	NC_001401.2	53	100	632	Adeno-associated virus
SRR8423125	NC_001401.2	56	100	487	Adeno-associated virus
SRR8423126	NC_001401.2	56	100	564	Adeno-associated virus
SRR8423127	NC_001401.2	57	100	606	Adeno-associated virus
SRR8423128	NC_001401.2	50	100	868	Adeno-associated virus
SRR8423129	NC_001401.2	53	100	830	Adeno-associated virus
SRR8423130	NC_001401.2	51	100	860	Adeno-associated virus
SRR8423131	NC_001401.2	53	100	829	Adeno-associated virus
SRR8423136	NC_001401.2	53	100	519	Adeno-associated virus
SRR8423137	NC_001401.2	53	100	504	Adeno-associated virus
SRR8423138	NC_001401.2	56	100	544	Adeno-associated virus
SRR8423139	NC_001401.2	53	100	525	Adeno-associated virus
SRR8423140	NC_001401.2	56	100	954	Adeno-associated virus
SRR8423141	NC_001401.2	53	100	983	Adeno-associated virus
SRR8423142	NC_001401.2	56	100	1012	Adeno-associated virus
SRR8423143	NC_001401.2	57	100	988	Adeno-associated virus
SRR8423144	NC_001401.2	53	100	223	Adeno-associated virus
SRR8423145	NC_001401.2	50	100	213	Adeno-associated virus
SRR8423146	NC_001401.2	56	100	1084	Adeno-associated virus
SRR8423147	NC_001401.2	56	100	971	Adeno-associated virus
SRR8423148	NC_001401.2	56	100	905	Adeno-associated virus
SRR8423150	NC_001401.2	53	100	282	Adeno-associated virus
SRR8423151	NC_001401.2	53	100	251	Adeno-associated virus
SRR8423155	NC_001401.2	56	100	870	Adeno-associated virus
SRR8423156	NC_001401.2	53	100	899	Adeno-associated virus
SRR8423157	NC_001401.2	53	100	961	Adeno-associated virus
SRR8423164	NC_001401.2	53	100	575	Adeno-associated virus
SRR8423165	NC_001401.2	53	100	554	Adeno-associated virus
SRR8423166	NC_001401.2	53	100	548	Adeno-associated virus
SRR8423167	NC_001401.2	57	100	969	Adeno-associated virus
SRR8423168	NC_001401.2	56	100	987	Adeno-associated virus
SRR8423169	NC_001401.2	57	100	996	Adeno-associated virus
SRR8423170	NC_001401.2	57	100	1001	Adeno-associated virus
SRR8423171	NC_001401.2	57	100	1014	Adeno-associated virus
SRR8423172	NC_001401.2	57	100	952	Adeno-associated virus
SRR8423179	NC_001401.2	57	100	1434	Adeno-associated virus
SRR8423180	NC_001401.2	57	100	1467	Adeno-associated virus
SRR8423181	NC_001401.2	56	100	1340	Adeno-associated virus
SRR8423183	NC_001401.2	51	100	359	Adeno-associated virus
SRR8423188	NC_001401.2	56	100	641	Adeno-associated virus
SRR8423189	NC_001401.2	56	100	708	Adeno-associated virus
SRR8423190	NC_001401.2	53	100	642	Adeno-associated virus
SRR8423191	NC_001401.2	56	100	355	Adeno-associated virus
SRR8423192	NC_001401.2	50	100	302	Adeno-associated virus
SRR8423193	NC_001401.2	50	100	302	Adeno-associated virus
SRR8423194	NC_001401.2	56	100	354	Adeno-associated virus
SRR8423195	NC_001401.2	56	100	314	Adeno-associated virus
SRR8423196	NC_001401.2	57	100	328	Adeno-associated virus
SRR8423197	NC_001401.2	56	100	440	Adeno-associated virus
SRR8423198	NC_001401.2	56	100	414	Adeno-associated virus
SRR8423199	NC_001401.2	56	100	430	Adeno-associated virus
SRR8423204	NC_001401.2	57	100	594	Adeno-associated virus
SRR8423205	NC_001401.2	56	100	573	Adeno-associated virus
SRR8423206	NC_001401.2	56	100	568	Adeno-associated virus
SRR8423207	NC_001401.2	56	100	621	Adeno-associated virus
SRR8423216	NC_001401.2	56	100	1089	Adeno-associated virus
SRR8423217	NC_001401.2	56	100	1032	Adeno-associated virus
SRR8423218	NC_001401.2	56	100	1084	Adeno-associated virus
SRR8423219	NC_001401.2	56	100	1015	Adeno-associated virus
SRR8423224	NC_001401.2	50	100	211	Adeno-associated virus
SRR8423236	NC_001401.2	57	100	569	Adeno-associated virus
SRR8423237	NC_001401.2	57	100	555	Adeno-associated virus
SRR8423238	NC_001401.2	56	100	565	Adeno-associated virus
SRR8423239	NC_001401.2	53	100	542	Adeno-associated virus
SRR8423248	NC_001401.2	55	100	676	Adeno-associated virus
SRR8423249	NC_001401.2	53	100	727	Adeno-associated virus
SRR8423250	NC_001401.2	56	100	697	Adeno-associated virus
SRR8423251	NC_001401.2	56	100	742	Adeno-associated virus
SRR8423256	NC_001401.2	56	100	668	Adeno-associated virus
SRR8423257	NC_001401.2	54	100	621	Adeno-associated virus
SRR8423258	NC_001401.2	56	100	630	Adeno-associated virus
SRR8423261	NC_001401.2	56	100	657	Adeno-associated virus
SRR8423259	NC_001401.2	58	100	768	Adeno-associated virus
SRR8423260	NC_001401.2	56	100	722	Adeno-associated virus
SRR8423262	NC_001401.2	56	100	699	Adeno-associated virus
SRR8423263	NC_001401.2	56	100	621	Adeno-associated virus
SRR8423264	NC_001401.2	53	100	800	Adeno-associated virus
SRR8423265	NC_001401.2	53	100	804	Adeno-associated virus
SRR8423266	NC_001401.2	57	100	839	Adeno-associated virus
SRR8423267	NC_001401.2	56	100	718	Adeno-associated virus
SRR8760358	NC_001401.2	61	100	2404	Adeno-associated virus
SRR8423280	NC_001401.2	56	100	530	Adeno-associated virus
SRR8423281	NC_001401.2	56	100	599	Adeno-associated virus
SRR8423282	NC_001401.2	56	100	601	Adeno-associated virus
SRR8423283	NC_001401.2	56	100	624	Adeno-associated virus
SRR8423284	NC_001401.2	58	100	1293	Adeno-associated virus
SRR8423285	NC_001401.2	56	100	1255	Adeno-associated virus
SRR8423286	NC_001401.2	56	100	1266	Adeno-associated virus
SRR8423287	NC_001401.2	56	100	1221	Adeno-associated virus
SRR8760368	NC_001401.2	54	100	4992	Adeno-associated virus
SRR8423296	NC_001401.2	56	100	548	Adeno-associated virus
SRR8423297	NC_001401.2	56	100	498	Adeno-associated virus
SRR8423298	NC_001401.2	57	100	542	Adeno-associated virus
SRR8423299	NC_001401.2	56	100	536	Adeno-associated virus
SRR8423300	NC_001401.2	54	100	793	Adeno-associated virus
SRR8423301	NC_001401.2	53	100	870	Adeno-associated virus
SRR8423302	NC_001401.2	56	100	880	Adeno-associated virus
SRR8423303	NC_001401.2	56	100	920	Adeno-associated virus
SRR8423308	NC_001401.2	57	100	737	Adeno-associated virus
SRR8423309	NC_001401.2	56	100	804	Adeno-associated virus
SRR8423310	NC_001401.2	57	100	862	Adeno-associated virus
SRR8423311	NC_001401.2	57	100	889	Adeno-associated virus
SRR8423312	NC_001401.2	53	100	1126	Adeno-associated virus
SRR8423313	NC_001401.2	56	100	1152	Adeno-associated virus
SRR8423314	NC_001401.2	56	100	1201	Adeno-associated virus
SRR8423315	NC_001401.2	53	100	1159	Adeno-associated virus
SRR8423316	NC_001401.2	57	100	847	Adeno-associated virus
SRR8423317	NC_001401.2	57	100	1016	Adeno-associated virus
SRR8423318	NC_001401.2	56	100	1082	Adeno-associated virus
SRR8423319	NC_001401.2	56	100	1101	Adeno-associated virus
SRR8423320	NC_001401.2	57	100	582	Adeno-associated virus
SRR8423321	NC_001401.2	56	100	607	Adeno-associated virus
SRR8423322	NC_001401.2	54	100	653	Adeno-associated virus
SRR8423323	NC_001401.2	56	100	526	Adeno-associated virus
SRR8423324	NC_001401.2	56	100	620	Adeno-associated virus
SRR8423325	NC_001401.2	56	100	647	Adeno-associated virus
SRR8423326	NC_001401.2	56	100	675	Adeno-associated virus
SRR8423327	NC_001401.2	56	100	583	Adeno-associated virus
SRR8423328	NC_001401.2	56	100	996	Adeno-associated virus
SRR8423329	NC_001401.2	53	100	1008	Adeno-associated virus
SRR8423330	NC_001401.2	56	100	1089	Adeno-associated virus
SRR8423331	NC_001401.2	56	100	1012	Adeno-associated virus
SRR8423335	NC_001401.2	53	100	204	Adeno-associated virus
SRR8423336	NC_001401.2	53	100	1491	Adeno-associated virus
SRR8423337	NC_001401.2	56	100	1557	Adeno-associated virus
SRR8423338	NC_001401.2	53	100	1446	Adeno-associated virus
SRR8423344	NC_001401.2	50	100	197	Adeno-associated virus
