run_id	sequence_accession	score	percent_identity	n_reads	viral_name	BioSample
ERR188024	NC_007605.1	99	99	135349	Epstein-Barr virus	SAMEA1573203
ERR188025	NC_007605.1	98	99	114189	Epstein-Barr virus	SAMEA1573346
ERR188026	NC_007605.1	99	99	85029	Epstein-Barr virus	SAMEA1573212
ERR188027	NC_007605.1	99	99	75815	Epstein-Barr virus	SAMEA1573516
ERR188028	NC_007605.1	100	99	155425	Epstein-Barr virus	SAMEA1573404
ERR188029	NC_007605.1	97	100	232845	Epstein-Barr virus	SAMEA1573527
ERR188030	NC_007605.1	98	100	41120	Epstein-Barr virus	SAMEA1573339
ERR188031	NC_007605.1	99	99	42228	Epstein-Barr virus	SAMEA1573240
ERR188032	NC_007605.1	99	99	291628	Epstein-Barr virus	SAMEA1573507
ERR188033	NC_007605.1	99	99	136586	Epstein-Barr virus	SAMEA1573345
ERR188034	NC_007605.1	97	99	49920	Epstein-Barr virus	SAMEA1573368
ERR188035	NC_007605.1	98	99	35395	Epstein-Barr virus	SAMEA1573444
ERR188036	NC_007605.1	97	100	78086	Epstein-Barr virus	SAMEA1573484
ERR188037	NC_007605.1	99	99	28203	Epstein-Barr virus	SAMEA1573523
ERR188038	NC_007605.1	98	99	112739	Epstein-Barr virus	SAMEA1573269
ERR188039	NC_007605.1	99	99	185196	Epstein-Barr virus	SAMEA1573377
ERR188040	NC_007605.1	98	99	50444	Epstein-Barr virus	SAMEA1573477
ERR188041	NC_007605.1	97	100	140755	Epstein-Barr virus	SAMEA1573127
ERR188042	NC_007605.1	100	98	106840	Epstein-Barr virus	SAMEA1573219
ERR188043	NC_007605.1	97	100	286626	Epstein-Barr virus	SAMEA1573132
ERR188044	NC_007605.1	98	99	324436	Epstein-Barr virus	SAMEA1573216
ERR188045	NC_007605.1	97	100	180199	Epstein-Barr virus	SAMEA1573276
ERR188046	NC_007605.1	100	99	174040	Epstein-Barr virus	SAMEA1573202
ERR188047	NC_007605.1	98	99	195139	Epstein-Barr virus	SAMEA1573294
ERR188048	NC_007605.1	98	99	46760	Epstein-Barr virus	SAMEA1573181
ERR188049	NC_007605.1	98	99	312986	Epstein-Barr virus	SAMEA1573373
ERR188050	NC_007605.1	100	99	58249	Epstein-Barr virus	SAMEA1573188
ERR188051	NC_007605.1	98	99	28821	Epstein-Barr virus	SAMEA1573406
ERR188052	NC_007605.1	99	99	113704	Epstein-Barr virus	SAMEA1573256
ERR188053	NC_007605.1	97	100	58944	Epstein-Barr virus	SAMEA1573152
ERR188054	NC_007605.1	97	100	98593	Epstein-Barr virus	SAMEA1573508
ERR188055	NC_007605.1	98	99	166855	Epstein-Barr virus	SAMEA1573329
ERR188056	NC_007605.1	99	99	227310	Epstein-Barr virus	SAMEA1573101
ERR188057	NC_007605.1	97	100	150089	Epstein-Barr virus	SAMEA1573412
ERR188058	NC_007605.1	97	100	113641	Epstein-Barr virus	SAMEA1573158
ERR188059	NC_007605.1	98	99	50948	Epstein-Barr virus	SAMEA1573233
ERR188060	NC_007605.1	98	99	192305	Epstein-Barr virus	SAMEA1573254
ERR188061	NC_007605.1	98	99	198434	Epstein-Barr virus	SAMEA1573252
ERR188062	NC_007605.1	98	99	153833	Epstein-Barr virus	SAMEA1573296
ERR188063	NC_007605.1	99	99	1026091	Epstein-Barr virus	SAMEA1573467
ERR188064	NC_007605.1	98	99	125594	Epstein-Barr virus	SAMEA1573324
ERR188065	NC_007605.1	100	99	219146	Epstein-Barr virus	SAMEA1573084
ERR188066	NC_007605.1	99	99	356719	Epstein-Barr virus	SAMEA1573518
ERR188067	NC_007605.1	99	99	63847	Epstein-Barr virus	SAMEA1573247
ERR188068	NC_007605.1	100	99	118585	Epstein-Barr virus	SAMEA1573396
ERR188069	NC_007605.1	98	99	43542	Epstein-Barr virus	SAMEA1573459
ERR188070	NC_007605.1	98	99	148978	Epstein-Barr virus	SAMEA1573428
ERR188071	NC_007605.1	98	99	42901	Epstein-Barr virus	SAMEA1573519
ERR188072	NC_007605.1	98	99	78524	Epstein-Barr virus	SAMEA1573126
ERR188073	NC_007605.1	99	99	670133	Epstein-Barr virus	SAMEA1573354
ERR188074	NC_007605.1	98	99	138077	Epstein-Barr virus	SAMEA1573178
ERR188075	NC_007605.1	98	99	214892	Epstein-Barr virus	SAMEA1573142
ERR188076	NC_007605.1	97	100	63306	Epstein-Barr virus	SAMEA1573110
ERR188077	NC_007605.1	99	99	104461	Epstein-Barr virus	SAMEA1573249
ERR188078	NC_007605.1	100	99	72780	Epstein-Barr virus	SAMEA1573201
ERR188079	NC_007605.1	98	99	27076	Epstein-Barr virus	SAMEA1573388
ERR188080	NC_007605.1	98	99	47472	Epstein-Barr virus	SAMEA1573117
ERR188081	NC_007605.1	98	99	108277	Epstein-Barr virus	SAMEA1573129
ERR188082	NC_007605.1	97	99	100843	Epstein-Barr virus	SAMEA1573489
ERR188083	NC_007605.1	97	100	86105	Epstein-Barr virus	SAMEA1573361
ERR188084	NC_007605.1	99	99	199261	Epstein-Barr virus	SAMEA1573499
ERR188085	NC_007605.1	98	99	76273	Epstein-Barr virus	SAMEA1573122
ERR188086	NC_007605.1	99	99	61373	Epstein-Barr virus	SAMEA1573437
ERR188087	NC_007605.1	97	100	37596	Epstein-Barr virus	SAMEA1573145
ERR188088	NC_007605.1	97	100	81109	Epstein-Barr virus	SAMEA1573156
ERR188089	NC_007605.1	97	100	100444	Epstein-Barr virus	SAMEA1573302
ERR188090	NC_007605.1	97	100	32221	Epstein-Barr virus	SAMEA1573305
ERR188091	NC_007605.1	98	99	84982	Epstein-Barr virus	SAMEA1573137
ERR188092	NC_007605.1	97	100	184225	Epstein-Barr virus	SAMEA1573128
ERR188093	NC_007605.1	97	100	54935	Epstein-Barr virus	SAMEA1573338
ERR188094	NC_007605.1	99	99	90229	Epstein-Barr virus	SAMEA1573253
ERR188095	NC_007605.1	98	99	62976	Epstein-Barr virus	SAMEA1573422
ERR188096	NC_007605.1	99	99	86627	Epstein-Barr virus	SAMEA1573337
ERR188097	NC_007605.1	99	99	329088	Epstein-Barr virus	SAMEA1573228
ERR188098	NC_007605.1	97	100	188975	Epstein-Barr virus	SAMEA1573226
ERR188099	NC_007605.1	98	99	141746	Epstein-Barr virus	SAMEA1573291
ERR188100	NC_007605.1	100	99	110660	Epstein-Barr virus	SAMEA1573331
ERR188101	NC_007605.1	98	99	151610	Epstein-Barr virus	SAMEA1573342
ERR188102	NC_007605.1	99	99	57576	Epstein-Barr virus	SAMEA1573083
ERR188103	NC_007605.1	98	99	95896	Epstein-Barr virus	SAMEA1573195
ERR188104	NC_007605.1	97	100	81793	Epstein-Barr virus	SAMEA1573115
ERR188105	NC_007605.1	97	100	101472	Epstein-Barr virus	SAMEA1573315
ERR188106	NC_007605.1	98	99	43319	Epstein-Barr virus	SAMEA1573267
ERR188107	NC_007605.1	98	99	143352	Epstein-Barr virus	SAMEA1573360
ERR188108	NC_007605.1	98	99	66904	Epstein-Barr virus	SAMEA1573514
ERR188109	NC_007605.1	97	100	28828	Epstein-Barr virus	SAMEA1573214
ERR188110	NC_007605.1	98	99	127141	Epstein-Barr virus	SAMEA1573189
ERR188111	NC_007605.1	97	99	62022	Epstein-Barr virus	SAMEA1573208
ERR188112	NC_007605.1	98	99	97830	Epstein-Barr virus	SAMEA1573474
ERR188113	NC_007605.1	99	99	126084	Epstein-Barr virus	SAMEA1573088
ERR188114	NC_007605.1	100	100	329566	Epstein-Barr virus	SAMEA1573138
ERR188115	NC_007605.1	98	99	65768	Epstein-Barr virus	SAMEA1573259
ERR188116	NC_007605.1	97	100	32774	Epstein-Barr virus	SAMEA1573104
ERR188117	NC_007605.1	97	100	89158	Epstein-Barr virus	SAMEA1573530
ERR188118	NC_007605.1	98	99	89867	Epstein-Barr virus	SAMEA1573147
ERR188119	NC_007605.1	97	100	57280	Epstein-Barr virus	SAMEA1573391
ERR188120	NC_007605.1	98	99	126414	Epstein-Barr virus	SAMEA1573191
ERR188121	NC_007605.1	98	99	111837	Epstein-Barr virus	SAMEA1573336
ERR188122	NC_007605.1	97	100	225287	Epstein-Barr virus	SAMEA1573320
ERR188123	NC_007605.1	97	100	85329	Epstein-Barr virus	SAMEA1573304
ERR188124	NC_007605.1	98	99	70856	Epstein-Barr virus	SAMEA1573139
ERR188125	NC_007605.1	100	99	78666	Epstein-Barr virus	SAMEA1573230
ERR188126	NC_007605.1	100	99	213344	Epstein-Barr virus	SAMEA1573210
ERR188127	NC_007605.1	98	99	116506	Epstein-Barr virus	SAMEA1573168
ERR188128	NC_007605.1	99	99	97680	Epstein-Barr virus	SAMEA1573494
ERR188129	NC_007605.1	97	99	69913	Epstein-Barr virus	SAMEA1573367
ERR188130	NC_007605.1	98	99	59184	Epstein-Barr virus	SAMEA1573260
ERR188131	NC_007605.1	97	100	141607	Epstein-Barr virus	SAMEA1573344
ERR188132	NC_007605.1	97	100	94623	Epstein-Barr virus	SAMEA1573483
ERR188133	NC_007605.1	97	99	34810	Epstein-Barr virus	SAMEA1573493
ERR188134	NC_007605.1	98	99	105046	Epstein-Barr virus	SAMEA1573400
ERR188135	NC_007605.1	97	100	59124	Epstein-Barr virus	SAMEA1573131
ERR188136	NC_007605.1	100	99	95506	Epstein-Barr virus	SAMEA1573545
ERR188137	NC_007605.1	97	100	35952	Epstein-Barr virus	SAMEA1573497
ERR188138	NC_007605.1	98	99	72635	Epstein-Barr virus	SAMEA1573313
ERR188139	NC_007605.1	99	99	102728	Epstein-Barr virus	SAMEA1573372
ERR188140	NC_007605.1	92	99	21215	Epstein-Barr virus	SAMEA1573150
ERR188141	NC_007605.1	99	99	266170	Epstein-Barr virus	SAMEA1573283
ERR188142	NC_007605.1	99	99	23754	Epstein-Barr virus	SAMEA1573490
ERR188143	NC_007605.1	98	99	122143	Epstein-Barr virus	SAMEA1573383
ERR188144	NC_007605.1	99	99	64975	Epstein-Barr virus	SAMEA1573163
ERR188145	NC_007605.1	99	99	93048	Epstein-Barr virus	SAMEA1573307
ERR188146	NC_007605.1	98	99	107894	Epstein-Barr virus	SAMEA1573310
ERR188147	NC_007605.1	99	99	49020	Epstein-Barr virus	SAMEA1573180
ERR188148	NC_007605.1	97	100	62247	Epstein-Barr virus	SAMEA1573275
ERR188149	NC_007605.1	99	99	83490	Epstein-Barr virus	SAMEA1573164
ERR188150	NC_007605.1	99	99	138294	Epstein-Barr virus	SAMEA1573279
ERR188151	NC_007605.1	98	99	57896	Epstein-Barr virus	SAMEA1573135
ERR188152	NC_007605.1	98	100	357701	Epstein-Barr virus	SAMEA1573528
ERR188153	NC_007605.1	97	100	173177	Epstein-Barr virus	SAMEA1573334
ERR188154	NC_007605.1	97	100	241970	Epstein-Barr virus	SAMEA1573405
ERR188155	NC_007605.1	97	100	191680	Epstein-Barr virus	SAMEA1573369
ERR188156	NC_007605.1	97	99	144899	Epstein-Barr virus	SAMEA1573492
ERR188157	NC_007605.1	97	100	189998	Epstein-Barr virus	SAMEA1573170
ERR188158	NC_007605.1	99	99	433144	Epstein-Barr virus	SAMEA1573209
ERR188159	NC_007605.1	98	99	65156	Epstein-Barr virus	SAMEA1573466
ERR188160	NC_007605.1	97	100	54710	Epstein-Barr virus	SAMEA1573318
ERR188161	NC_007605.1	98	99	57147	Epstein-Barr virus	SAMEA1573217
ERR188162	NC_007605.1	100	99	81078	Epstein-Barr virus	SAMEA1573148
ERR188163	NC_007605.1	100	99	59335	Epstein-Barr virus	SAMEA1573330
ERR188164	NC_007605.1	99	99	65254	Epstein-Barr virus	SAMEA1573370
ERR188165	NC_007605.1	97	100	49891	Epstein-Barr virus	SAMEA1573449
ERR188166	NC_007605.1	98	99	113096	Epstein-Barr virus	SAMEA1573480
ERR188167	NC_007605.1	98	99	48192	Epstein-Barr virus	SAMEA1573299
ERR188168	NC_007605.1	97	100	216030	Epstein-Barr virus	SAMEA1573280
ERR188169	NC_007605.1	97	100	107439	Epstein-Barr virus	SAMEA1573151
ERR188170	NC_007605.1	97	100	197147	Epstein-Barr virus	SAMEA1573351
ERR188171	NC_007605.1	100	99	84875	Epstein-Barr virus	SAMEA1573196
ERR188172	NC_007605.1	97	100	110095	Epstein-Barr virus	SAMEA1573242
ERR188173	NC_007605.1	98	99	24976	Epstein-Barr virus	SAMEA1573343
ERR188174	NC_007605.1	97	100	262239	Epstein-Barr virus	SAMEA1573157
ERR188175	NC_007605.1	100	99	214469	Epstein-Barr virus	SAMEA1573440
ERR188176	NC_007605.1	97	99	123241	Epstein-Barr virus	SAMEA1573274
ERR188177	NC_007605.1	98	99	52395	Epstein-Barr virus	SAMEA1573478
ERR188178	NC_007605.1	100	99	77471	Epstein-Barr virus	SAMEA1573423
ERR188179	NC_007605.1	99	99	142630	Epstein-Barr virus	SAMEA1573222
ERR188180	NC_007605.1	98	99	372417	Epstein-Barr virus	SAMEA1573371
ERR188181	NC_007605.1	97	100	157426	Epstein-Barr virus	SAMEA1573166
ERR188182	NC_007605.1	99	99	171366	Epstein-Barr virus	SAMEA1573308
ERR188183	NC_007605.1	98	99	102791	Epstein-Barr virus	SAMEA1573384
ERR188184	NC_007605.1	97	100	69752	Epstein-Barr virus	SAMEA1573418
ERR188185	NC_007605.1	97	100	94463	Epstein-Barr virus	SAMEA1573349
ERR188186	NC_007605.1	99	99	49704	Epstein-Barr virus	SAMEA1573502
ERR188187	NC_007605.1	98	99	89924	Epstein-Barr virus	SAMEA1573410
ERR188188	NC_007605.1	99	99	103981	Epstein-Barr virus	SAMEA1573498
ERR188189	NC_007605.1	97	100	134940	Epstein-Barr virus	SAMEA1573286
ERR188190	NC_007605.1	98	99	36294	Epstein-Barr virus	SAMEA1573089
ERR188191	NC_007605.1	98	99	45776	Epstein-Barr virus	SAMEA1573306
ERR188192	NC_007605.1	97	100	40182	Epstein-Barr virus	SAMEA1573375
ERR188193	NC_007605.1	98	99	86554	Epstein-Barr virus	SAMEA1573246
ERR188194	NC_007605.1	100	99	98862	Epstein-Barr virus	SAMEA1573376
ERR188195	NC_007605.1	98	99	151131	Epstein-Barr virus	SAMEA1573317
ERR188196	NC_007605.1	98	99	301898	Epstein-Barr virus	SAMEA1573173
ERR188197	NC_007605.1	97	100	133064	Epstein-Barr virus	SAMEA1573469
ERR188198	NC_007605.1	97	100	189119	Epstein-Barr virus	SAMEA1573505
ERR188199	NC_007605.1	97	100	45043	Epstein-Barr virus	SAMEA1573091
ERR188200	NC_007605.1	99	99	120892	Epstein-Barr virus	SAMEA1573239
ERR188201	NC_007605.1	97	100	183522	Epstein-Barr virus	SAMEA1573443
ERR188202	NC_007605.1	97	100	77312	Epstein-Barr virus	SAMEA1573544
ERR188203	NC_007605.1	99	99	125506	Epstein-Barr virus	SAMEA1573352
ERR188204	NC_007605.1	100	100	85920	Epstein-Barr virus	SAMEA1573425
ERR188205	NC_007605.1	100	99	151205	Epstein-Barr virus	SAMEA1573234
ERR188206	NC_007605.1	97	100	35801	Epstein-Barr virus	SAMEA1573172
ERR188207	NC_007605.1	97	100	94557	Epstein-Barr virus	SAMEA1573409
ERR188208	NC_007605.1	97	100	31058	Epstein-Barr virus	SAMEA1573301
ERR188209	NC_007605.1	98	99	129709	Epstein-Barr virus	SAMEA1573154
ERR188210	NC_007605.1	97	99	64976	Epstein-Barr virus	SAMEA1573359
ERR188211	NC_007605.1	98	99	189130	Epstein-Barr virus	SAMEA1573266
ERR188212	NC_007605.1	97	100	97376	Epstein-Barr virus	SAMEA1573365
ERR188213	NC_007605.1	97	100	86276	Epstein-Barr virus	SAMEA1573534
ERR188214	NC_007605.1	99	99	188559	Epstein-Barr virus	SAMEA1573293
ERR188215	NC_007605.1	99	99	238122	Epstein-Barr virus	SAMEA1573200
ERR188216	NC_007605.1	99	99	237228	Epstein-Barr virus	SAMEA1573205
ERR188217	NC_007605.1	98	99	143695	Epstein-Barr virus	SAMEA1573332
ERR188218	NC_007605.1	97	100	284849	Epstein-Barr virus	SAMEA1573144
ERR188219	NC_007605.1	100	99	150929	Epstein-Barr virus	SAMEA1573462
ERR188220	NC_007605.1	97	100	326010	Epstein-Barr virus	SAMEA1573517
ERR188221	NC_007605.1	98	99	52278	Epstein-Barr virus	SAMEA1573309
ERR188222	NC_007605.1	97	100	67613	Epstein-Barr virus	SAMEA1573118
ERR188223	NC_007605.1	98	99	111612	Epstein-Barr virus	SAMEA1573278
ERR188224	NC_007605.1	97	100	345718	Epstein-Barr virus	SAMEA1573237
ERR188225	NC_007605.1	98	99	51708	Epstein-Barr virus	SAMEA1573250
ERR188226	NC_007605.1	97	99	316129	Epstein-Barr virus	SAMEA1573111
ERR188227	NC_007605.1	97	99	24069	Epstein-Barr virus	SAMEA1573455
ERR188228	NC_007605.1	99	99	214396	Epstein-Barr virus	SAMEA1573416
ERR188229	NC_007605.1	97	99	38287	Epstein-Barr virus	SAMEA1573112
ERR188230	NC_007605.1	98	99	217962	Epstein-Barr virus	SAMEA1573541
ERR188231	NC_007605.1	99	99	91418	Epstein-Barr virus	SAMEA1573277
ERR188232	NC_007605.1	99	99	40209	Epstein-Barr virus	SAMEA1573356
ERR188233	NC_007605.1	97	100	100687	Epstein-Barr virus	SAMEA1573347
ERR188234	NC_007605.1	98	99	76032	Epstein-Barr virus	SAMEA1573417
ERR188235	NC_007605.1	97	100	72205	Epstein-Barr virus	SAMEA1573197
ERR188236	NC_007605.1	97	100	51007	Epstein-Barr virus	SAMEA1573143
ERR188237	NC_007605.1	99	99	101735	Epstein-Barr virus	SAMEA1573098
ERR188238	NC_007605.1	97	100	166490	Epstein-Barr virus	SAMEA1573198
ERR188239	NC_007605.1	98	99	28105	Epstein-Barr virus	SAMEA1573190
ERR188240	NC_007605.1	100	99	313489	Epstein-Barr virus	SAMEA1573167
ERR188241	NC_007605.1	97	100	131562	Epstein-Barr virus	SAMEA1573159
ERR188242	NC_007605.1	99	99	147660	Epstein-Barr virus	SAMEA1573515
ERR188243	NC_007605.1	98	100	82721	Epstein-Barr virus	SAMEA1573357
ERR188244	NC_007605.1	98	99	77897	Epstein-Barr virus	SAMEA1573503
ERR188245	NC_007605.1	98	99	35879	Epstein-Barr virus	SAMEA1573429
ERR188246	NC_007605.1	98	99	105573	Epstein-Barr virus	SAMEA1573454
ERR188247	NC_007605.1	99	99	60958	Epstein-Barr virus	SAMEA1573378
ERR188248	NC_007605.1	98	99	149298	Epstein-Barr virus	SAMEA1573394
ERR188249	NC_007605.1	98	99	78136	Epstein-Barr virus	SAMEA1573093
ERR188250	NC_007605.1	98	99	234918	Epstein-Barr virus	SAMEA1573389
ERR188251	NC_007605.1	97	100	53384	Epstein-Barr virus	SAMEA1573447
ERR188252	NC_007605.1	98	99	53229	Epstein-Barr virus	SAMEA1573414
ERR188253	NC_007605.1	98	99	114369	Epstein-Barr virus	SAMEA1573171
ERR188254	NC_007605.1	98	99	30097	Epstein-Barr virus	SAMEA1573526
ERR188255	NC_007605.1	98	99	142970	Epstein-Barr virus	SAMEA1573227
ERR188256	NC_007605.1	98	99	41673	Epstein-Barr virus	SAMEA1573395
ERR188257	NC_007605.1	99	99	53810	Epstein-Barr virus	SAMEA1573136
ERR188258	NC_007605.1	97	100	177109	Epstein-Barr virus	SAMEA1573362
ERR188259	NC_007605.1	98	99	86038	Epstein-Barr virus	SAMEA1573221
ERR188260	NC_007605.1	97	100	174147	Epstein-Barr virus	SAMEA1573456
ERR188261	NC_007605.1	100	100	418579	Epstein-Barr virus	SAMEA1573109
ERR188262	NC_007605.1	98	99	244091	Epstein-Barr virus	SAMEA1573504
ERR188263	NC_007605.1	98	99	218902	Epstein-Barr virus	SAMEA1573438
ERR188264	NC_007605.1	98	99	165538	Epstein-Barr virus	SAMEA1573232
ERR188265	NC_007605.1	97	100	86808	Epstein-Barr virus	SAMEA1573288
ERR188266	NC_007605.1	97	100	184514	Epstein-Barr virus	SAMEA1573120
ERR188267	NC_007605.1	98	99	181874	Epstein-Barr virus	SAMEA1573448
ERR188268	NC_007605.1	97	100	95806	Epstein-Barr virus	SAMEA1573470
ERR188269	NC_007605.1	97	100	217167	Epstein-Barr virus	SAMEA1573407
ERR188270	NC_007605.1	100	99	258605	Epstein-Barr virus	SAMEA1573225
ERR188271	NC_007605.1	98	99	84535	Epstein-Barr virus	SAMEA1573255
ERR188272	NC_007605.1	99	99	257353	Epstein-Barr virus	SAMEA1573241
ERR188273	NC_007605.1	98	99	60332	Epstein-Barr virus	SAMEA1573537
ERR188274	NC_007605.1	97	100	115606	Epstein-Barr virus	SAMEA1573430
ERR188275	NC_007605.1	99	99	137076	Epstein-Barr virus	SAMEA1573364
ERR188276	NC_007605.1	97	100	242219	Epstein-Barr virus	SAMEA1573090
ERR188277	NC_007605.1	98	99	175727	Epstein-Barr virus	SAMEA1573272
ERR188278	NC_007605.1	98	99	26863	Epstein-Barr virus	SAMEA1573176
ERR188279	NC_007605.1	98	99	343284	Epstein-Barr virus	SAMEA1573186
ERR188280	NC_007605.1	98	99	60319	Epstein-Barr virus	SAMEA1573263
ERR188281	NC_007605.1	99	99	142662	Epstein-Barr virus	SAMEA1573540
ERR188282	NC_007605.1	98	99	109115	Epstein-Barr virus	SAMEA1573106
ERR188283	NC_007605.1	97	100	23935	Epstein-Barr virus	SAMEA1573179
ERR188284	NC_007605.1	99	99	155328	Epstein-Barr virus	SAMEA1573415
ERR188285	NC_007605.1	98	99	65022	Epstein-Barr virus	SAMEA1573397
ERR188286	NC_007605.1	98	99	43117	Epstein-Barr virus	SAMEA1573264
ERR188287	NC_007605.1	99	99	138804	Epstein-Barr virus	SAMEA1573174
ERR188288	NC_007605.1	98	99	114383	Epstein-Barr virus	SAMEA1573326
ERR188289	NC_007605.1	99	99	92844	Epstein-Barr virus	SAMEA1573453
ERR188290	NC_007605.1	98	99	89118	Epstein-Barr virus	SAMEA1573398
ERR188291	NC_007605.1	97	100	149093	Epstein-Barr virus	SAMEA1573102
ERR188292	NC_007605.1	97	100	106739	Epstein-Barr virus	SAMEA1573427
ERR188293	NC_007605.1	97	100	92661	Epstein-Barr virus	SAMEA1573463
ERR188294	NC_007605.1	98	99	233213	Epstein-Barr virus	SAMEA1573281
ERR188295	NC_007605.1	98	99	157418	Epstein-Barr virus	SAMEA1573531
ERR188296	NC_007605.1	98	99	147738	Epstein-Barr virus	SAMEA1573251
ERR188297	NC_007605.1	99	99	88284	Epstein-Barr virus	SAMEA1573411
ERR188298	NC_007605.1	99	99	65662	Epstein-Barr virus	SAMEA1573457
ERR188299	NC_007605.1	97	99	130379	Epstein-Barr virus	SAMEA1573341
ERR188300	NC_007605.1	98	99	212327	Epstein-Barr virus	SAMEA1573340
ERR188301	NC_007605.1	97	100	125519	Epstein-Barr virus	SAMEA1573086
ERR188302	NC_007605.1	97	100	103257	Epstein-Barr virus	SAMEA1573491
ERR188303	NC_007605.1	97	100	146823	Epstein-Barr virus	SAMEA1573220
